Index,Question,A,B,C,D,answer
90,This is Que of Eg 90,opt1,opt2,opt3,opt4,3
91,This is Que of Eg 91,opt1,opt2,opt3,opt4,3
92,This is Que of Eg 92,opt1,opt2,opt3,opt4,3
93,This is Que of Eg 93,opt1,opt2,opt3,opt4,3
94,This is Que of Eg 94,opt1,opt2,opt3,opt4,3
95,This is Que of Eg 95,opt1,opt2,opt3,opt4,3
96,This is Que of Eg 96,opt1,opt2,opt3,opt4,3
97,This is Que of Eg 97,opt1,opt2,opt3,opt4,3
98,This is Que of Eg 98,opt1,opt2,opt3,opt4,3
99,This is Que of Eg 99,opt1,opt2,opt3,opt4,3
100,This is Que of Eg 100,opt1,opt2,opt3,opt4,3
