Index,Question,A,B,C,D,answer
87,This is Que of GK  87,opt1,opt2,opt3,opt4,3
88,This is Que of GK  88,opt1,opt2,opt3,opt4,3
89,This is Que of GK  89,opt1,opt2,opt3,opt4,3
90,This is Que of GK  90,opt1,opt2,opt3,opt4,3
91,This is Que of GK  91,opt1,opt2,opt3,opt4,3
92,This is Que of GK  92,opt1,opt2,opt3,opt4,3
93,This is Que of GK  93,opt1,opt2,opt3,opt4,3
94,This is Que of GK  94,opt1,opt2,opt3,opt4,3
95,This is Que of GK  95,opt1,opt2,opt3,opt4,3
96,This is Que of GK  96,opt1,opt2,opt3,opt4,3
97,This is Que of GK  97,opt1,opt2,opt3,opt4,3
98,This is Que of GK  98,opt1,opt2,opt3,opt4,3
99,This is new que 99,opt1,opt2,opt3,opt3,2
100,This is Que of GK  100,opt1,opt2,opt3,opt4,3
