Index,Question,A,B,C,D,answer
85,This is Que of pol 85,opt1,opt2,opt3,opt4,3
86,This is Que of pol 86,opt1,opt2,opt3,opt4,3
87,This is Que of pol 87,opt1,opt2,opt3,opt4,3
88,This is Que of pol 88,opt1,opt2,opt3,opt4,3
89,This is Que of pol 89,opt1,opt2,opt3,opt4,3
90,This is Que of pol 90,opt1,opt2,opt3,opt4,3
91,This is Que of pol 91,opt1,opt2,opt3,opt4,3
92,This is Que of pol 92,opt1,opt2,opt3,opt4,3
93,This is Que of pol 93,opt1,opt2,opt3,opt4,3
94,This is Que of pol 94,opt1,opt2,opt3,opt4,3
95,This is new que pol 95,opt1,opt2,opt3,opt4,4
96,This is Que of pol 96,opt1,opt2,opt3,opt4,3
97,This is Que of pol 97,opt1,opt2,opt3,opt4,3
98,This is Que of pol 98,opt1,opt2,opt3,opt4,3
99,This is Que of pol 99,opt1,opt2,opt3,opt4,3
100,This is Que of pol 100,opt1,opt2,opt3,opt4,3
