Index,Question,A,B,C,D,answer
36,This is Que of MA 36,opt1,opt2,opt3,opt4,3
37,This is Que of MA 37,opt1,opt2,opt3,opt4,3
38,This is Que of MA 38,opt1,opt2,opt3,opt4,3
39,This is Que of MA 39,opt1,opt2,opt3,opt4,3
40,This is Que of MA 40,opt1,opt2,opt3,opt4,3
41,This is Que of MA 41,opt1,opt2,opt3,opt4,3
42,This is Que of MA 42,opt1,opt2,opt3,opt4,3
43,This is Que of MA 43,opt1,opt2,opt3,opt4,3
44,This is Que of MA 44,opt1,opt2,opt3,opt4,3
45,This is Que of MA 45,opt1,opt2,opt3,opt4,3
46,This is Que of MA 46,opt1,opt2,opt3,opt4,3
47,This is Que of MA 47,opt1,opt2,opt3,opt4,3
48,This is Que of MA 48,opt1,opt2,opt3,opt4,3
49,This is Que of MA 49,opt1,opt2,opt3,opt4,3
50,This is Que of MA 50,opt1,opt2,opt3,opt4,3
51,This is Que of MA 51,opt1,opt2,opt3,opt4,3
52,This is Que of MA 52,opt1,opt2,opt3,opt4,3
53,This is Que of MA 53,opt1,opt2,opt3,opt4,3
54,This is Que of MA 54,opt1,opt2,opt3,opt4,3
55,This is Que of MA 55,opt1,opt2,opt3,opt4,3
56,This is Que of MA 56,opt1,opt2,opt3,opt4,3
57,This is Que of MA 57,opt1,opt2,opt3,opt4,3
58,This is Que of MA 58,opt1,opt2,opt3,opt4,3
59,This is Que of MA 59,opt1,opt2,opt3,opt4,3
60,This is Que of MA 60,opt1,opt2,opt3,opt4,3
61,This is Que of MA 61,opt1,opt2,opt3,opt4,3
62,This is Que of MA 62,opt1,opt2,opt3,opt4,3
63,This is Que of MA 63,opt1,opt2,opt3,opt4,3
64,This is Que of MA 64,opt1,opt2,opt3,opt4,3
65,This is Que of MA 65,opt1,opt2,opt3,opt4,3
66,This is Que of MA 66,opt1,opt2,opt3,opt4,3
67,This is Que of MA 67,opt1,opt2,opt3,opt4,3
68,This is Que of MA 68,opt1,opt2,opt3,opt4,3
69,This is Que of MA 69,opt1,opt2,opt3,opt4,3
70,This is Que of MA 70,opt1,opt2,opt3,opt4,3
71,This is Que of MA 71,opt1,opt2,opt3,opt4,3
72,This is Que of MA 72,opt1,opt2,opt3,opt4,3
73,This is Que of MA 73,opt1,opt2,opt3,opt4,3
74,This is Que of MA 74,opt1,opt2,opt3,opt4,3
75,This is Que of MA 75,opt1,opt2,opt3,opt4,3
76,This is Que of MA 76,opt1,opt2,opt3,opt4,3
77,This is Que of MA 77,opt1,opt2,opt3,opt4,3
78,This is Que of MA 78,opt1,opt2,opt3,opt4,3
79,This is Que of MA 79,opt1,opt2,opt3,opt4,3
80,This is Que of MA 80,opt1,opt2,opt3,opt4,3
81,This is Que of MA 81,opt1,opt2,opt3,opt4,3
82,This is Que of MA 82,opt1,opt2,opt3,opt4,3
83,This is Que of MA 83,opt1,opt2,opt3,opt4,3
84,This is Que of MA 84,opt1,opt2,opt3,opt4,3
85,This is Que of MA 85,opt1,opt2,opt3,opt4,3
86,This is Que of MA 86,opt1,opt2,opt3,opt4,3
87,This is Que of MA 87,opt1,opt2,opt3,opt4,3
88,This is Que of MA 88,opt1,opt2,opt3,opt4,3
89,This is Que of MA 89,opt1,opt2,opt3,opt4,3
90,This is Que of MA 90,opt1,opt2,opt3,opt4,3
91,This is Que of MA 91,opt1,opt2,opt3,opt4,3
92,This is Que of MA 92,opt1,opt2,opt3,opt4,3
93,This is Que of MA 93,opt1,opt2,opt3,opt4,3
94,This is Que of MA 94,opt1,opt2,opt3,opt4,3
95,This is Que of MA 95,opt1,opt2,opt3,opt4,3
96,This is Que of MA 96,opt1,opt2,opt3,opt4,3
97,This is Que of MA 97,opt1,opt2,opt3,opt4,3
98,This is Que of MA 98,opt1,opt2,opt3,opt4,3
99,This is Que of MA 99,opt1,opt2,opt3,opt4,3
100,This is Que of MA 100,opt1,opt2,opt3,opt4,3
