Index,Question,A,B,C,D,answer
57,This is Que of food 57,opt1,opt2,opt3,opt4,3
58,This is Que of food 58,opt1,opt2,opt3,opt4,3
59,This is Que of food 59,opt1,opt2,opt3,opt4,3
60,This is Que of food 60,opt1,opt2,opt3,opt4,3
61,This is Que of food 61,opt1,opt2,opt3,opt4,3
62,This is Que of food 62,opt1,opt2,opt3,opt4,3
63,This is Que of food 63,opt1,opt2,opt3,opt4,3
64,This is Que of food 64,opt1,opt2,opt3,opt4,3
65,This is Que of food 65,opt1,opt2,opt3,opt4,3
66,This is Que of food 66,opt1,opt2,opt3,opt4,3
67,This is Que of food 67,opt1,opt2,opt3,opt4,3
68,This is Que of food 68,opt1,opt2,opt3,opt4,3
69,This is Que of food 69,opt1,opt2,opt3,opt4,3
70,This is Que of food 70,opt1,opt2,opt3,opt4,3
71,This is Que of food 71,opt1,opt2,opt3,opt4,3
72,This is Que of food 72,opt1,opt2,opt3,opt4,3
73,This is Que of food 73,opt1,opt2,opt3,opt4,3
74,This is Que of food 74,opt1,opt2,opt3,opt4,3
75,This is Que of food 75,opt1,opt2,opt3,opt4,3
76,This is Que of food 76,opt1,opt2,opt3,opt4,3
77,This is Que of food 77,opt1,opt2,opt3,opt4,3
78,This is Que of food 78,opt1,opt2,opt3,opt4,3
79,This is Que of food 79,opt1,opt2,opt3,opt4,3
80,This is Que of food 80,opt1,opt2,opt3,opt4,3
81,This is Que of food 81,opt1,opt2,opt3,opt4,3
82,This is Que of food 82,opt1,opt2,opt3,opt4,3
83,This is Que of food 83,opt1,opt2,opt3,opt4,3
84,This is Que of food 84,opt1,opt2,opt3,opt4,3
85,This is Que of food 85,opt1,opt2,opt3,opt4,3
86,This is Que of food 86,opt1,opt2,opt3,opt4,3
87,This is Que of food 87,opt1,opt2,opt3,opt4,3
88,This is Que of food 88,opt1,opt2,opt3,opt4,3
89,This is Que of food 89,opt1,opt2,opt3,opt4,3
90,This is Que of food 90,opt1,opt2,opt3,opt4,3
91,This is Que of food 91,opt1,opt2,opt3,opt4,3
92,This is Que of food 92,opt1,opt2,opt3,opt4,3
93,This is Que of food 93,opt1,opt2,opt3,opt4,3
94,This is Que of food 94,opt1,opt2,opt3,opt4,3
95,This is Que of food 95,opt1,opt2,opt3,opt4,3
96,This is Que of food 96,opt1,opt2,opt3,opt4,3
97,This is Que of food 97,opt1,opt2,opt3,opt4,3
98,This is Que of food 98,opt1,opt2,opt3,opt4,3
99,This is Que of food 99,opt1,opt2,opt3,opt4,3
100,This is Que of food 100,opt1,opt2,opt3,opt4,3
